dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
27/3/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386
26/3/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386
25/3/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386
24/3/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386
23/3/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386
22/3/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386
21/3/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386
20/3/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386
19/3/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386
18/3/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386
17/3/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386
16/3/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386
15/3/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386
11/3/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386
8/3/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386
2/3/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386
1/3/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386
29/2/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386
28/2/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386
27/2/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386
26/2/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386
25/2/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386
24/2/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386
23/2/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386
22/2/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386
21/2/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386
20/2/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386
19/2/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386
18/2/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386
17/2/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386
16/2/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386
15/2/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386
14/2/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386
13/2/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386
